,src,dest,overlap,distance,total_border,greatest_border,nb_border
0,466751,502358,0,0.0,2752.9880076578993,2752.9880076578993,1
1,466751,597182,0,0.0,751.5480061455775,751.5480061455775,1
0,466754,464613,0,0.0,219.6993548012902,219.6993548012902,1
1,466754,502358,0,0.0,2999.0090645557066,2567.9296405299838,2
2,466754,597182,0,0.0,1550.71125185151,1550.71125185151,1
0,466757,465709,0,0.0,691.9319482265939,691.9319482265939,1
1,466757,465715,0,0.0,380.42617897008535,380.42617897008535,1
2,466757,473727,0,0.0,1461.5393812847435,1461.5393812847435,1
3,466757,597183,0,0.0,1623.6998715240547,1623.6998715240547,1
0,466758,464634,0,0.0,813.3650568539841,813.3650568539841,1
1,466758,465714,0,0.0,995.949437396728,995.949437396728,1
2,466758,473742,0,0.0,639.0397459438875,639.0397459438875,1
3,466758,502305,0,0.0,187.7048961843482,187.7048961843482,1
4,466758,597227,0,0.0,1046.9225861694877,539.4220472583771,2
0,466759,502358,0,0.0,1567.9861677536837,1567.9861677536837,1
1,466759,597182,0,0.0,891.6967151334952,891.6967151334952,1
0,466763,465717,0,0.0,548.4140232544546,548.4140232544546,1
1,466763,465720,0,0.0,1485.1761596551528,1485.1761596551528,1
2,466763,465934,0,0.0,729.1474212874407,729.1474212874407,1
3,466763,597182,0,0.0,2156.776942118748,2156.776942118748,1
